


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.071
                                                            Tripleafx-FX-Demo (Build 971)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2014.01.06 00:00 - 2014.12.29 23:30 (2014.01.01 - 2014.12.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 2000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
           6  41.46           15          6.75            2.76      16.41       0.81  MACD30_SignalMethod=5; MaxOrders=0; MaxOrdersPerType=35;
          22  -2.22           17          0.89           -0.13      22.25       1.10 MACD30_SignalMethod=21; MaxOrders=0; MaxOrdersPerType=35;
          30  -2.50           17          0.87           -0.15      22.53       1.12 MACD30_SignalMethod=29; MaxOrders=0; MaxOrdersPerType=35;
          12  -4.73           16          0.83           -0.30      23.90       1.18 MACD30_SignalMethod=11; MaxOrders=0; MaxOrdersPerType=35;
          14  -5.26           29          0.83           -0.18      34.79       1.71 MACD30_SignalMethod=13; MaxOrders=0; MaxOrdersPerType=35;
           7  -5.34           28          0.81           -0.19      23.93       1.19  MACD30_SignalMethod=6; MaxOrders=0; MaxOrdersPerType=35;
          31  -5.65           37          0.83           -0.15      28.36       1.40 MACD30_SignalMethod=30; MaxOrders=0; MaxOrdersPerType=35;
          23  -5.65           37          0.83           -0.15      28.36       1.40 MACD30_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=35;
          28  -5.69           16          0.80           -0.36      24.27       1.20 MACD30_SignalMethod=27; MaxOrders=0; MaxOrdersPerType=35;
          20  -5.69           16          0.80           -0.36      24.27       1.20 MACD30_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=35;
          15  -5.77           35          0.83           -0.16      27.63       1.37 MACD30_SignalMethod=14; MaxOrders=0; MaxOrdersPerType=35;
          32  -7.68           11          0.41           -0.70      15.68       0.78 MACD30_SignalMethod=31; MaxOrders=0; MaxOrdersPerType=35;
          24  -7.68           11          0.41           -0.70      15.68       0.78 MACD30_SignalMethod=23; MaxOrders=0; MaxOrdersPerType=35;
           8  -7.70           11          0.44           -0.70      12.44       0.62  MACD30_SignalMethod=7; MaxOrders=0; MaxOrdersPerType=35;
          21  -7.73           58          0.87           -0.13      39.19       1.93 MACD30_SignalMethod=20; MaxOrders=0; MaxOrdersPerType=35;
          29  -8.01           58          0.87           -0.14      39.47       1.94 MACD30_SignalMethod=28; MaxOrders=0; MaxOrdersPerType=35;
           4  -8.75           20          0.74           -0.44      26.54       1.32  MACD30_SignalMethod=3; MaxOrders=0; MaxOrdersPerType=35;
          13  -9.53           11          0.14           -0.87      12.40       0.62 MACD30_SignalMethod=12; MaxOrders=0; MaxOrdersPerType=35;
          18  -9.88           50          0.89           -0.20      61.04       2.98 MACD30_SignalMethod=17; MaxOrders=0; MaxOrdersPerType=35;
          26 -10.16           50          0.88           -0.20      61.32       2.99 MACD30_SignalMethod=25; MaxOrders=0; MaxOrdersPerType=35;
          16 -10.21           11          0.34           -0.93      18.84       0.94 MACD30_SignalMethod=15; MaxOrders=0; MaxOrdersPerType=35;
           5 -11.83           14          0.17           -0.85      13.29       0.66  MACD30_SignalMethod=4; MaxOrders=0; MaxOrdersPerType=35;
           2 -12.08           12          0.10           -1.01      19.51       0.97  MACD30_SignalMethod=1; MaxOrders=0; MaxOrdersPerType=35;
           9 -12.76           11          0.07           -1.16      16.47       0.82  MACD30_SignalMethod=8; MaxOrders=0; MaxOrdersPerType=35;
           3 -13.79           12          0.11           -1.15      18.38       0.92  MACD30_SignalMethod=2; MaxOrders=0; MaxOrdersPerType=35;
          10 -13.98           74          0.88           -0.19      81.26       3.93  MACD30_SignalMethod=9; MaxOrders=0; MaxOrdersPerType=35;
          27 -14.45           11          0.07           -1.31      20.94       1.04 MACD30_SignalMethod=26; MaxOrders=0; MaxOrdersPerType=35;
          19 -14.45           11          0.07           -1.31      20.94       1.04 MACD30_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=35;
          11 -14.53           12          0.07           -1.21      19.12       0.95 MACD30_SignalMethod=10; MaxOrders=0; MaxOrdersPerType=35;
           1 -14.63           13          0.10           -1.13      18.67       0.93  MACD30_SignalMethod=0; MaxOrders=0; MaxOrdersPerType=35;
          25 -15.03           12          0.06           -1.25      20.94       1.04 MACD30_SignalMethod=24; MaxOrders=0; MaxOrdersPerType=35;
          17 -15.03           12          0.06           -1.25      20.94       1.04 MACD30_SignalMethod=16; MaxOrders=0; MaxOrdersPerType=35;
